,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M015,4,143,246,1957,5,264,697,2405,347,63,41,12506,89,21,638,1128,26378,1,0,214,580.0,143,501,1040,70,194,7332,341,2035,0.0,354,236,0.0,161,354,950,563,0,1400,4429,157,M015,303,963,73,8.0,110,409,11015,73,1.0,28489,525
M019,2,89,319,1879,303,222,346,1045,342,60,40,9344,89,90,182,480,19397,1,2,249,219.0,89,522,582,68,80,5150,294,1889,0.0,10,235,4.0,228,213,742,673,1,1041,3172,225,M019,303,720,65,9.0,114,402,8067,106,1.0,21521,904
M020,4,100,256,1975,222,75,406,1408,344,59,40,10062,89,106,500,763,18016,1,0,363,239.0,100,458,935,68,245,3351,335,1122,0.0,7,236,0.0,123,339,349,401,0,506,1676,119,M020,303,439,152,8.0,103,403,8662,127,1.0,20077,648
M034,2,63,252,1273,454,355,581,1924,345,58,40,10609,89,49,811,991,19629,1,2,129,352.0,63,316,637,70,244,4054,295,1706,0.0,10,235,4.0,21,212,541,864,1,910,1511,17,M034,303,579,54,16.0,116,404,9187,69,1.0,21549,244
M063,3,168,388,2456,37,398,435,1788,347,65,40,15222,89,39,510,1073,28541,1,2,1388,280.0,168,320,1145,71,237,6996,310,1911,0.0,278,236,4.0,10,404,1084,643,1,1927,3367,7,M063,303,674,71,14.0,103,411,12421,141,1.0,30472,918
M064,3,134,255,1862,523,211,540,1530,345,63,40,11516,89,47,845,750,22514,1,2,313,239.0,134,333,714,70,76,5314,297,2159,0.0,10,235,4.0,36,287,707,1079,1,1219,2495,33,M064,303,789,79,17.0,123,409,9783,126,1.0,24455,755
M110,2,83,171,1583,370,144,379,1411,340,58,39,9500,89,136,226,829,16753,1,2,303,202.0,83,341,583,67,272,3090,288,1085,0.0,239,234,4.0,52,184,433,331,1,204,2159,49,M110,303,163,54,11.0,110,399,8089,73,1.0,18692,608
M134,2,67,221,1625,479,441,469,1686,343,58,40,11288,89,75,421,833,19442,1,2,1186,384.0,67,307,933,67,338,3176,298,1600,0.0,11,235,4.0,9,309,601,828,1,565,1217,7,M134,303,397,51,9.0,114,401,8708,88,1.0,21349,299
M137,4,139,361,2210,740,721,469,1513,343,61,40,13315,89,51,17,660,28814,1,0,1021,384.0,139,342,864,68,582,9213,337,2423,0.0,6,235,0.0,5,515,907,1528,0,1562,6037,1,M137,303,633,54,8.0,135,404,10003,70,1.0,30760,954
M140,2,53,417,1644,458,372,328,1566,345,58,40,10802,89,423,445,910,19674,1,2,267,328.0,53,297,791,69,343,3918,284,1691,0.0,154,235,4.0,13,179,582,600,1,759,1742,9,M140,303,468,110,56.0,127,402,8834,68,1.0,21573,461
