,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Regional_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Regional_Costs,Regional_Support_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation,_No_type_required
M015,1,25,180,2078,3,43,466,1971,261,33,23,9186,101,18,634,1087,1130,17531,01,55,178,419,809,69,211,2884,261,1386,0,9,168,,27,1444,173,478,862,2,852,288,25,946,309,24,M015,200,771,5,105,9,125,294,1444,7692,111,Yes,19556,967,261
M019,1,23,205,1758,266,115,602,1731,261,32,23,8722,101,42,251,879,1130,15482,01,55,174,249,528,69,232,1874,260,1374,0,18,169,,37,1444,118,439,786,2,655,297,23,475,309,34,M019,200,454,5,82,11,204,293,1444,7201,187,Yes,17515,929,260
M020,1,22,460,1251,140,129,159,920,260,41,23,8119,101,166,317,574,1130,12958,01,55,112,186,701,68,308,1879,262,766,0,34,168,,208,1444,105,234,945,2,363,470,22,450,309,205,M020,200,270,5,156,6,117,301,1444,6233,166,Yes,15173,249,262
M034,1,27,436,1310,272,15,270,1259,261,32,23,8350,101,68,425,730,1130,14440,01,55,229,259,517,69,176,2182,260,1312,0,10,168,,40,1444,199,370,766,2,505,300,27,546,309,37,M034,200,454,5,76,11,206,293,1444,6931,94,Yes,16477,491,260
M056,1,33,903,1233,652,192,580,1654,266,46,23,16752,102,341,601,756,1130,26823,01,56,930,318,404,75,603,3924,272,3227,0,625,168,,195,1444,277,1034,2136,3,983,467,33,912,309,191,M056,200,1399,5,88,9,133,312,1444,11922,106,Yes,29046,526,272
M063,1,23,163,2054,3,42,107,1598,259,30,23,10409,101,46,538,1210,1130,18293,01,55,615,281,809,68,501,2756,259,1452,0,72,168,,31,1444,221,719,890,2,1122,290,23,614,309,28,M063,200,627,5,78,8,95,290,1444,8116,92,Yes,20316,943,259
M064,1,24,176,1566,447,106,275,1261,263,32,23,9483,101,129,273,757,1130,16902,01,55,393,228,551,69,305,2837,260,1730,0,7,170,,306,1444,153,603,905,2,781,566,24,1293,309,303,M064,200,527,5,80,10,143,295,1444,7557,106,Yes,19206,714,260
M110,1,22,217,960,229,134,138,801,260,29,23,7754,101,47,223,529,1130,12177,01,55,100,134,451,67,295,1685,258,955,0,160,170,,22,1444,105,302,763,2,174,280,22,776,309,19,M110,200,312,5,74,8,103,289,1444,6212,102,Yes,14190,207,258
M134,1,20,140,1517,340,41,289,1017,262,32,23,8725,101,113,739,501,1130,15216,01,55,773,227,557,68,257,2663,260,1273,0,23,171,,108,1444,229,428,667,2,834,368,20,625,309,105,M134,200,383,5,80,9,113,294,1444,6718,94,Yes,17321,659,260
M137,1,37,130,2073,391,68,163,1590,261,33,23,10208,101,66,619,1006,1130,19153,01,56,809,421,662,69,288,3884,260,1361,0,10,168,,65,1444,162,411,1151,2,632,325,37,2218,309,63,M137,200,440,5,77,11,108,293,1444,7671,136,Yes,21216,1110,260
M140,1,22,518,1273,271,51,312,1276,261,32,23,8149,101,107,375,808,1130,14102,01,55,281,156,534,69,454,2247,260,1133,0,264,168,,465,1444,122,370,768,2,595,726,22,531,309,462,M140,200,364,5,80,12,116,293,1444,6089,106,Yes,16564,438,260
