,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
M015,2,267,274,1713,41,522,1219,3378,374,88,34,12577,83,164,480,1320,899,25851,01,,211,838,267,395,930,74,134,5696,317,2219,,420,266,3,77,1339,357,951,350,1,825,3237,432,74,M015,307,1060,8,9,11,156,462,1339,11225,61,Yes,28046,394
M019,2,139,214,1878,514,364,305,1202,369,82,34,8633,83,148,366,770,899,19742,01,,257,127,139,309,567,72,121,6118,301,1772,,11,263,3,8,1339,203,609,547,1,878,4092,432,5,M019,307,543,8,7,9,97,452,1339,7454,86,Yes,21842,922
M020,2,241,249,1842,310,79,305,1456,371,83,34,9412,83,142,276,760,899,16986,01,,390,391,241,381,850,72,118,2878,307,1158,,11,265,3,74,1339,251,330,257,1,355,1667,432,71,M020,307,415,8,56,9,94,454,1339,8353,82,Yes,19160,603
M034,2,150,606,1181,471,837,727,2395,374,85,34,11265,83,132,889,1097,899,21514,01,,153,572,150,306,623,75,665,4728,251,1795,,12,265,3,55,1339,226,539,872,1,542,1627,432,52,M034,307,542,8,20,11,232,458,1339,9317,93,Yes,23618,169
M063,2,283,234,1915,41,413,306,1539,373,88,34,14030,83,129,565,874,899,26967,01,,1231,359,283,493,1078,75,218,7328,269,1873,,254,264,3,224,1339,396,1070,525,1,1953,3769,432,221,M063,307,599,8,22,13,150,461,1339,11592,54,Yes,29259,447
M064,2,207,167,2210,515,200,454,1320,373,88,34,11476,83,316,813,628,899,22456,01,,318,238,207,362,1031,75,195,5370,318,1872,,11,264,3,44,1339,243,631,888,1,1126,2820,432,41,M064,307,610,8,20,18,99,461,1339,9626,100,Yes,24618,789
M110,2,140,112,1367,400,158,585,1586,368,80,34,9439,83,156,277,711,899,16631,01,,190,290,140,337,454,71,48,2945,298,1154,,6,263,3,39,1339,225,449,291,1,136,2037,432,36,M110,307,155,8,18,9,141,449,1339,8675,53,Yes,18755,523
M134,3,140,251,1813,477,522,537,1504,369,81,34,10612,83,154,30,709,899,19175,01,,456,258,140,302,964,71,299,3655,248,1450,,10,264,3,53,1339,304,586,777,1,1017,1531,432,50,M134,307,253,8,67,7,127,450,1339,8767,80,Yes,21265,459
M137,2,242,279,1734,767,803,537,1504,372,85,34,10786,83,141,30,709,899,25256,01,,938,258,242,862,807,73,153,8470,314,2521,,11,264,3,548,1339,516,861,273,1,900,5942,432,545,M137,307,607,8,17,11,274,457,1339,9159,91,Yes,27913,538
M140,2,196,450,1680,511,120,230,1254,373,83,34,10799,83,390,513,839,899,19297,01,,297,185,196,304,777,74,170,3542,294,1825,,12,264,3,9,1339,172,585,667,1,814,1472,432,6,M140,307,577,8,73,63,88,455,1339,9132,56,Yes,21394,514
M142,2,209,156,2342,795,127,352,1474,373,86,34,10518,83,123,191,752,899,20771,01,,567,371,209,332,1126,74,73,4679,315,1549,,306,265,3,17,1339,143,483,263,1,1035,3027,432,14,M142,307,160,8,114,11,100,459,1339,8972,97,Yes,22900,826
M184,2,142,253,1193,246,93,308,1146,366,70,34,7678,83,111,198,599,899,12185,01,,218,239,142,231,595,68,229,1111,220,915,,11,264,3,11,1339,105,268,667,1,33,429,432,8,M184,307,276,8,22,10,115,437,1339,6362,55,Yes,14192,208
M188,2,214,425,1446,542,353,408,1377,371,81,34,10979,83,113,537,683,899,18879,01,,347,287,214,322,910,73,251,3305,295,1558,,306,264,3,27,1339,211,516,250,1,574,1205,432,24,M188,307,342,8,76,11,147,453,1339,9449,184,Yes,20992,147
M292,2,132,495,968,712,244,281,1286,373,82,34,9257,83,459,864,733,899,16471,01,,125,271,132,322,235,75,356,2634,308,2194,1,12,264,3,14,1339,173,482,267,2,61,797,432,10,M292,307,781,8,17,14,206,456,1339,7899,119,Yes,18587,344
M301,2,169,325,1556,856,820,305,1202,376,89,34,11077,83,234,577,770,899,20910,01,416,4,127,169,365,562,77,121,3647,350,3259,,13,264,3,15,1339,416,1117,482,1,79,1014,432,12,M301,307,582,8,22,569,134,465,1339,10129,69,Yes,23079,605
M315,2,39,155,1473,762,28,319,943,367,79,34,10240,83,93,952,601,899,19318,01,,476,23,39,298,305,71,204,4236,289,2387,,10,262,3,9,1339,373,981,331,1,679,2048,432,6,M315,307,525,8,25,11,107,446,1339,9040,59,Yes,21401,779
M332,2,403,674,1808,717,2211,280,1283,381,97,35,13208,83,201,1405,732,899,28237,01,611,531,271,403,351,645,80,1033,8224,340,3310,,10,266,3,11,1339,669,1722,1690,1,80,2573,432,8,M332,307,662,8,69,29,180,479,1339,9433,238,Yes,30405,774
M345,2,119,371,1497,576,476,280,1283,373,84,34,9166,83,168,589,732,899,19506,01,260,382,271,119,342,613,75,466,4566,325,2875,,18,264,3,16,1339,300,761,697,1,756,1814,432,13,M345,307,942,8,10,453,143,458,1339,7349,73,Yes,21644,495
M361,2,67,269,1271,41,30,319,943,366,76,34,9893,83,139,325,601,899,16998,01,,505,23,67,264,386,69,103,3488,249,1335,,438,263,3,16,1339,322,804,217,1,289,2253,432,12,M361,307,375,8,10,9,107,443,1339,8412,67,Yes,19043,496
M363,2,100,164,1452,41,28,306,1538,367,78,34,9307,83,136,328,873,899,17326,01,,388,359,100,297,333,71,44,3820,286,1110,,184,262,3,11,1339,217,605,728,1,58,3025,432,7,M363,307,366,8,19,13,86,444,1339,7714,91,Yes,19406,729
M364,2,75,135,1078,41,177,454,1320,367,77,34,7831,83,87,397,627,899,14850,01,,445,238,75,297,331,70,48,3056,281,1490,,12,262,3,16,1339,225,575,691,1,53,2069,432,13,M364,307,699,8,69,10,166,444,1339,6388,89,Yes,16930,358
M378,2,84,307,1970,568,28,365,1298,371,80,34,8201,83,121,368,602,899,16133,01,,346,331,84,311,490,73,426,3035,300,1546,,14,263,3,10,1339,198,770,604,1,66,2067,432,7,M378,307,71,8,88,16,122,451,1339,6444,154,Yes,18233,1091
M448,2,132,435,806,641,349,347,1449,373,81,34,9571,83,429,726,792,899,16412,01,,127,309,132,425,243,75,509,2615,296,1839,1,16,264,3,128,1339,316,429,606,1,152,637,432,125,M448,307,520,8,80,12,237,454,1339,7688,113,Yes,18630,173
M450,2,144,552,1089,289,447,662,1186,374,83,34,8709,83,178,737,520,899,16644,01,130,10,3,144,347,360,76,164,4233,337,1282,1,11,264,3,10,1339,391,366,605,1,417,1559,432,7,M450,307,335,8,34,13,279,457,1339,7596,108,Yes,18786,339
M458,2,109,828,663,331,421,237,706,369,72,34,7839,83,188,626,457,899,14332,01,,74,10,109,581,91,71,427,2328,270,2688,1,6,263,3,311,1339,341,852,373,1,39,73,432,308,M458,307,875,8,95,5,624,441,1339,6601,72,Yes,16694,183
M509,2,174,724,1180,471,438,365,1301,374,81,34,9467,83,395,650,603,899,18450,01,,7,331,174,276,447,75,147,4493,247,1834,1,299,265,3,29,1339,328,570,729,1,421,1931,432,26,M509,307,620,8,242,12,161,454,1339,7526,120,Yes,20520,344
M515,2,142,614,1049,622,439,365,1301,368,74,34,8809,83,215,821,603,899,16389,01,72,252,331,142,362,484,70,309,2253,271,2834,1,202,264,3,90,1339,271,421,684,1,24,11,432,87,M515,307,1486,8,202,71,235,442,1339,6817,125,Yes,18531,176
M539,2,33,287,1103,443,73,288,790,359,58,34,6399,83,77,224,361,899,10309,01,,2,139,33,157,211,65,66,1013,144,1037,1,72,260,65,13,1339,49,150,96,1,126,254,432,10,M539,307,342,8,19,3,99,417,1339,5882,120,No,12221,503
M650,2,167,528,836,929,737,236,706,370,74,34,9025,83,110,678,457,899,16841,01,,2,10,167,277,155,71,54,2381,267,3725,1,12,264,3,9,1339,341,1132,300,1,35,63,432,6,M650,307,1499,8,177,5,161,444,1339,8275,92,Yes,18900,292
M696,2,25,239,784,639,35,306,1388,358,56,34,7560,83,90,439,760,899,12465,01,,2,321,25,398,169,64,174,1153,253,1555,1,176,260,3,145,1339,241,361,161,1,24,175,432,142,M696,307,401,8,20,1,152,415,1339,6846,89,No,14617,225
M839,2,103,516,857,421,656,454,1320,371,80,34,8502,83,267,353,628,899,15088,01,,140,238,103,345,372,73,177,2846,332,1460,,22,263,3,13,1339,228,526,559,1,63,1030,432,10,M839,307,223,8,36,12,279,451,1339,7215,84,Yes,17223,95
M001,4,177,46,1511,319,291,596,1619,368,81,34,9331,83,106,516,716,899,16783,02,3,277,307,177,262,704,70,85,2605,251,1541,,13,264,3,11,1339,306,375,373,1,42,1401,432,6,M001,307,754,8,11,7,85,449,1339,8383,79,Yes,18833,417
M002,2,147,149,1462,229,25,430,1167,370,82,34,9859,83,145,305,532,899,15455,02,3,314,206,147,273,849,71,331,1869,251,951,,177,265,3,22,1339,171,252,398,1,365,852,432,19,M002,307,368,8,9,7,95,452,1339,8425,57,Yes,17519,224
M003,2,149,105,1233,262,28,503,1388,361,69,34,7691,83,46,283,628,899,14644,02,3,405,257,149,267,179,67,158,3181,251,1001,,173,260,3,16,1339,103,288,253,1,450,2208,432,13,M003,307,358,8,19,9,84,430,1339,6510,124,No,16680,665
M006,2,79,42,1042,433,34,432,1334,361,69,34,7773,83,437,231,673,899,13551,02,3,72,229,79,352,261,67,130,2348,318,976,,139,260,3,34,1339,106,254,487,1,564,1368,432,31,M006,307,200,8,20,10,79,431,1339,6396,89,No,15672,391
M011,2,132,66,1447,301,25,741,2393,368,80,34,9040,83,100,271,1058,899,16802,02,3,176,594,132,286,497,71,269,2487,255,1304,,11,263,3,30,1339,145,326,603,1,515,1462,432,27,M011,307,567,8,57,11,99,448,1339,7660,161,Yes,18875,561
M033,2,175,50,2080,451,398,443,1747,369,78,34,9243,83,108,98,937,899,18238,02,3,264,367,175,328,798,70,141,3493,298,1500,,10,264,3,30,1339,222,566,357,1,951,1771,432,27,M033,307,335,8,26,34,113,447,1339,8273,63,Yes,20352,893
M040,2,155,48,966,306,24,369,990,361,69,34,7745,83,131,294,450,899,14095,02,3,87,171,155,327,228,67,135,2987,317,1252,,11,260,3,11,1339,139,344,310,1,638,1841,432,8,M040,307,480,8,25,10,112,430,1339,6903,140,No,16191,348
M041,2,89,80,698,247,24,338,1496,362,70,34,7255,83,47,293,804,899,13536,02,3,3,354,89,343,206,67,45,2853,305,1146,,168,260,3,38,1339,120,274,300,1,482,1851,432,35,M041,307,488,8,32,9,127,432,1339,6541,117,No,15649,102
M042,2,172,256,1091,249,80,335,1101,369,81,34,9326,83,112,223,547,899,14984,02,3,268,218,172,337,639,71,158,2033,301,1263,,54,264,3,37,1339,241,285,428,1,392,837,432,33,M042,307,487,8,83,102,140,451,1339,8038,183,Yes,17111,63
M047,2,331,229,1712,1126,1161,800,2680,377,88,34,14082,83,209,1344,1333,899,31516,02,3,32,546,331,994,309,78,448,8741,597,3969,1,653,264,3,397,1339,360,1428,1173,1,80,5563,432,395,M047,307,1179,8,64,46,190,464,1339,11330,170,Yes,34313,1014
M051,2,108,176,1625,525,251,321,1030,369,81,34,8429,83,102,557,519,899,16160,02,3,287,190,108,323,764,71,95,3199,307,1768,,26,263,3,16,1339,233,616,719,1,635,1344,432,13,M051,307,428,8,21,11,189,450,1339,7082,94,Yes,18271,471
M059,2,57,125,1689,362,24,179,564,361,69,34,7620,83,201,344,383,899,13981,02,3,3,3,57,591,316,67,212,2795,303,1256,,6,260,3,289,1339,151,406,365,1,394,1752,432,286,M059,307,279,8,20,9,200,430,1339,6751,59,No,16341,983
M077,2,42,14,2045,484,24,268,1119,360,67,34,7486,83,856,175,529,899,15536,02,3,162,322,42,322,214,66,117,3036,312,1808,,11,260,3,10,1339,222,552,303,1,45,2551,432,7,M077,307,309,8,45,370,93,428,1339,5892,96,No,17624,1442
M089,2,107,46,2332,638,24,419,1433,361,69,34,7449,83,84,271,729,899,16005,02,3,121,286,107,333,280,67,227,3051,316,1632,,37,260,3,16,1339,156,415,250,1,324,2226,432,13,M089,307,487,8,25,11,81,430,1339,6613,89,No,18105,1663
M104,2,66,114,1234,527,24,278,1092,368,74,34,6901,83,90,343,591,899,12717,02,3,3,224,66,342,366,70,109,2050,316,1373,,12,263,3,26,1339,96,233,227,1,509,959,432,22,M104,307,337,8,58,165,112,442,1339,6308,92,Yes,14839,478
M111,2,144,190,1361,579,90,351,1693,371,81,34,9264,83,110,379,850,899,17751,02,128,140,492,144,326,599,73,74,3631,308,1658,,190,263,3,18,1339,232,361,622,1,524,2087,432,15,M111,307,555,8,36,14,148,452,1339,8024,65,Yes,19867,373
M114,2,16,273,565,440,24,283,720,360,63,34,7416,83,55,260,435,899,11685,02,3,9,3,16,324,76,66,146,1494,311,1475,,11,260,3,13,1339,159,505,130,1,44,730,432,10,M114,307,390,8,34,19,121,423,1339,6933,95,No,13770,99
M116,2,87,175,1244,246,195,323,1164,360,68,34,8217,83,289,30,568,899,14229,02,3,136,273,87,306,281,66,210,2335,297,1181,,14,260,3,9,1339,108,262,567,1,455,1368,432,6,M116,307,499,8,23,7,168,428,1339,6909,66,No,16302,574
M124,2,77,46,1486,392,121,377,1287,369,79,34,8464,83,132,201,592,899,14404,02,66,203,318,77,278,782,70,103,2040,245,1050,,179,265,3,33,1339,89,236,424,1,38,1478,432,30,M124,307,308,8,109,8,105,448,1339,7228,84,Yes,16468,315
M126,2,172,163,1455,290,277,286,1190,370,77,34,9226,83,118,476,653,899,15945,02,107,129,250,172,280,719,71,95,2778,270,1123,,133,264,3,10,1339,151,269,389,1,439,1165,432,7,M126,307,346,8,11,128,92,447,1339,8236,113,Yes,18010,347
M130,2,90,155,1434,374,24,329,1021,369,79,34,7525,83,128,180,506,899,12981,02,3,180,186,90,349,915,70,153,1789,312,1122,,12,265,3,37,1339,70,229,210,1,318,1039,432,34,M130,307,345,8,21,81,93,449,1339,6750,70,Yes,15117,130
M131,2,192,223,1562,391,237,596,1522,375,85,34,10517,83,440,564,600,899,19164,02,133,177,326,192,420,786,74,122,3851,318,1519,,37,267,3,101,1339,128,300,592,1,532,2034,432,98,M131,307,321,8,169,393,114,460,1339,8850,128,Yes,21383,387
M150,2,97,19,1166,41,24,303,4219,360,66,34,8543,83,453,554,510,899,18644,02,3,270,196,97,566,523,65,88,2371,307,2248,3210,11,260,3,259,1339,440,1078,1072,1,40,1291,432,256,M150,307,1013,8,12,6,110,425,1339,6551,82,No,20974,253
M151,2,24,172,1296,41,24,14454,21620,360,67,34,8731,83,100,588,909,899,36071,02,3,328,3,24,322,247,66,595,2676,312,1725,6255,6,260,3,10,1339,290,1088,513,1,44,1554,432,7,M151,307,502,8,13,7,87,428,1339,7029,144,No,38159,660
M158,2,74,152,945,252,83,635,1618,362,71,34,7980,83,167,212,705,899,14534,02,3,378,278,74,333,271,68,198,2852,322,1064,,235,260,3,11,1339,93,277,400,1,648,1662,432,8,M158,307,364,8,19,10,161,433,1339,6487,94,No,16639,284
M167,2,34,131,1005,489,26,416,1261,366,71,34,6773,83,73,333,562,899,11937,02,3,139,283,34,331,304,70,38,1716,318,1148,,12,262,3,13,1339,98,181,326,1,442,683,432,9,M167,307,276,8,54,92,111,437,1339,6066,63,Yes,14043,311
M183,4,77,37,957,274,24,309,1183,361,69,34,7909,83,358,221,595,899,14179,02,3,4,279,77,373,284,67,85,3036,318,1017,,11,260,3,55,1339,112,262,505,1,481,2156,432,51,M183,307,382,8,13,10,89,430,1339,6845,85,No,16321,284
M198,2,156,20,1755,601,77,268,1119,370,82,34,9115,83,123,176,530,899,17356,02,3,381,322,156,319,686,72,49,3662,307,1549,,187,264,3,12,1339,152,373,387,1,853,2381,432,9,M198,307,478,8,9,11,86,451,1339,7884,92,Yes,19465,680
M212,2,36,33,1116,41,63,290,1170,360,67,34,7129,83,46,431,618,899,13574,02,3,2,262,36,305,273,66,209,2923,297,1199,,336,260,3,8,1339,226,596,160,1,700,1466,432,5,M212,307,430,8,31,7,126,427,1339,6250,93,No,15646,453
M217,2,116,175,1441,414,323,488,2002,366,71,34,8525,83,92,295,1067,899,16180,02,190,290,448,116,392,604,69,48,2779,299,1317,,11,263,3,93,1339,198,487,567,6,527,1072,432,85,M217,307,315,8,18,6,94,437,1339,7440,56,Yes,18347,447
M225,2,162,264,1374,592,477,288,1263,364,68,34,9090,83,106,242,719,899,16564,02,3,464,256,162,313,506,68,291,2536,254,2139,,11,262,3,59,1339,252,659,292,1,39,1258,432,56,M225,307,789,8,19,5,93,432,1339,7851,54,Yes,18648,479
M234,2,58,69,1025,231,26,371,1744,360,67,34,7320,83,48,140,571,899,13276,02,3,7,220,58,307,195,66,87,2069,295,1060,583,146,260,3,12,1339,91,236,414,1,386,1355,432,9,M234,307,481,8,9,8,103,427,1339,6514,92,No,15348,440
M255,2,17,379,820,457,24,369,990,360,62,34,7133,83,65,363,450,899,13206,02,3,8,171,17,567,63,66,332,2384,310,1861,,11,260,3,257,1339,270,590,656,1,43,1302,432,254,M255,307,590,8,24,112,113,422,1339,5910,124,No,15533,368
M260,2,58,269,1193,594,24,316,7656,362,67,34,8345,83,67,404,614,899,21097,02,3,6,3,58,336,245,68,288,1710,325,2134,6723,6,260,3,11,1339,292,753,764,1,57,660,432,8,M260,307,624,8,5,13,151,429,1339,7152,54,No,23201,559
M267,2,10,52,1168,41,25,635,1618,357,62,34,11141,83,50,263,704,899,22170,02,3,2,278,10,236,291,63,3559,590,227,7642,,17,260,3,9,1339,42,4189,603,1,26,180,432,6,M267,307,2883,8,4,2,527,419,1339,6852,51,No,24163,487
M276,2,63,79,984,41,24,181,998,359,65,34,7298,83,50,326,815,899,12098,02,3,487,3,63,298,364,65,167,1504,288,1252,,38,260,3,10,1339,154,585,145,1,35,883,432,6,M276,307,480,8,12,7,139,423,1339,6342,54,No,14158,231
M288,2,61,471,826,442,24,402,1703,371,78,34,9722,83,165,585,720,899,16793,02,3,5,580,61,217,194,74,619,2224,191,2257,1,12,263,3,26,1339,168,543,162,1,286,687,432,23,M288,307,591,8,70,10,671,450,1339,8535,150,Yes,18798,243
M289,2,10,86,1239,562,24,419,1433,366,71,34,8052,83,140,475,729,899,14918,02,3,102,286,10,336,329,69,124,2255,313,1930,,52,262,3,23,1339,287,736,650,1,486,893,432,20,M289,307,538,8,25,8,85,436,1339,6867,90,Yes,17030,520
M290,2,79,99,756,286,24,252,931,361,69,34,7586,83,158,233,491,899,13215,02,3,3,187,79,316,261,67,53,2587,303,1276,,6,260,3,13,1339,115,318,372,1,666,1447,432,10,M290,307,298,8,23,8,365,431,1339,6883,85,No,15300,106
