,YEAR,LCGGEOX,LCGGEOY,BNLONG
18847,2010,-73.9793,40.722,M015
18848,2010,-73.9838,40.72964,M019
18849,2010,-73.9866,40.72137,M020
18850,2010,-73.9753,40.72647,M034
18851,2010,-73.9863,40.72417,M063
18852,2010,-73.9816,40.72441,M064
18853,2010,-73.98,40.71558,M110
18854,2010,-73.9836,40.71451,M134
18855,2010,-73.9836,40.71451,M137
18856,2010,-73.9831,40.7193,M140
18857,2010,-73.9843,40.7184,M142
18858,2010,-73.9865,40.71148,M184
18859,2010,-73.9779,40.71975,M188
18860,2010,-73.9864,40.71361,M292
18861,2010,-73.9838,40.72964,M301
18862,2010,-73.9786,40.72785,M315
18863,2010,-73.9864,40.71361,M332
18864,2010,-73.9864,40.71361,M345
18865,2010,-73.9786,40.72785,M361
18866,2010,-73.9863,40.72417,M363
18867,2010,-73.9816,40.72441,M364
18868,2010,-73.9856,40.72051,M378
18869,2010,-73.9845,40.71233,M448
18870,2010,-73.983,40.72974,M450
18871,2010,-73.9856,40.72051,M509
18872,2010,-73.9856,40.72051,M515
18873,2010,-73.9793,40.71888,M539
18874,2010,-73.9906,40.72241,M650
18875,2010,-73.9757,40.71863,M696
18877,2010,-73.9816,40.72441,M839
18878,2010,-73.9974,40.7127,M001
18879,2010,-73.9913,40.7132,M002
18880,2010,-74.0063,40.73253,M003
18881,2010,-73.9607,40.77755,M006
18882,2010,-74.0,40.74421,M011
18883,2010,-73.9997,40.74877,M033
18884,2010,-73.9821,40.73528,M040
18885,2010,-73.9988,40.73554,M041
18886,2010,-73.9908,40.71595,M042
18887,2010,-73.9825,40.73866,M047
18888,2010,-73.9951,40.76192,M051
18889,2010,-73.9643,40.76398,M059
18890,2010,-73.9496,40.78484,M077
18891,2010,-74.0135,40.71655,M089
18892,2010,-73.9806,40.736,M104
18893,2010,-73.9887,40.76579,M111
18894,2010,-73.951,40.77039,M114
18895,2010,-73.9783,40.74487,M116
18896,2010,-73.9956,40.71422,M124
18897,2010,-73.9966,40.71072,M126
18898,2010,-73.9983,40.71894,M130
18899,2010,-73.993,40.71647,M131
18900,2010,-74.0106,40.71814,M150
18901,2010,-73.9488,40.78088,M151
18902,2010,-73.951,40.77039,M158
18903,2010,-73.9582,40.77206,M167
18904,2010,-73.9582,40.76385,M183
18905,2010,-73.9496,40.78484,M198
18906,2010,-73.9879,40.76133,M212
18907,2010,-73.9479,40.76392,M217
18908,2010,-73.9602,40.76549,M225
18909,2010,-74.0111,40.71604,M234
18910,2010,-73.9821,40.73528,M255
18911,2010,-74.0,40.74421,M260
18912,2010,-74.0056,40.71376,M276
18913,2010,-73.9923,40.765,M288
18914,2010,-74.0135,40.71655,M289
18915,2010,-73.9532,40.77522,M290
18916,2010,-73.9892,40.71681,M294
18917,2010,-73.9923,40.765,M296
18918,2010,-73.993,40.71647,M298
18919,2010,-73.9923,40.765,M300
18920,2010,-73.9923,40.765,M303
18921,2010,-73.9892,40.71681,M305
18922,2010,-73.9892,40.71681,M308
18923,2010,-74.002,40.74213,M312
18924,2010,-74.0021,40.74292,M313
18925,2010,-74.0132,40.70574,M316
18926,2010,-73.9825,40.73866,M347
18927,2010,-73.9875,40.73548,M374
18928,2010,-74.0048,40.72429,M376
18929,2010,-74.0021,40.74292,M392
18930,2010,-73.9904,40.76339,M393
18931,2010,-73.993,40.71647,M394
18932,2010,-74.0056,40.71376,M397
18933,2010,-73.9875,40.73548,M399
18934,2010,-73.9876,40.76777,M400
18935,2010,-73.983,40.73252,M407
18936,2010,-73.9879,40.76133,M408
18937,2010,-73.9865,40.74202,M411
18938,2010,-74.002,40.74213,M412
18939,2010,-73.9853,40.73895,M413
18940,2010,-74.002,40.74213,M414
18941,2010,-73.9537,40.77032,M416
18942,2010,-74.0114,40.70448,M418
18943,2010,-74.0021,40.74292,M419
18944,2010,-73.983,40.73252,M420
18945,2010,-73.9825,40.73866,M422
18946,2010,-74.0123,40.70884,M425
18947,2010,-73.9947,40.73641,M429
18948,2010,-73.9914,40.74152,M439
18949,2010,-74.0021,40.74292,M440
18950,2010,-73.9898,40.73849,M442
