,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Regional_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Regional_Costs,Regional_Support_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M015,3,97,170,1936,1,286,267,1393,331,63,31,9364,119,131,449,806,19728,1,4,334,320.0,1040,71,334,5306,283,1631,0.0,9,229,0.0,49,225,675,708,2,1168,332,97,3004,44,M015,267,821,63,9,126,394,7684,101,1.0,22026,511
M019,4,69,195,1876,465,147,169,1270,329,59,31,9511,119,100,268,813,17458,1,4,111,288.0,559,69,148,2873,292,1860,0.0,26,228,0.0,14,157,599,886,1,864,305,69,1237,9,M019,267,633,84,10,153,388,7942,215,1.0,19724,931
M020,3,75,211,1607,233,326,149,1204,330,63,31,10148,120,643,452,767,16793,1,4,211,288.0,926,70,229,2661,283,1098,0.0,93,229,0.0,205,202,295,789,1,512,489,75,954,202,M020,267,391,177,51,128,393,7850,156,1.0,19247,295
M034,3,83,303,1292,350,286,316,1486,330,57,31,9065,119,190,718,865,16697,1,4,289,306.0,568,71,163,3345,282,1426,0.0,81,229,0.0,28,179,443,645,1,807,310,83,1048,24,M034,267,393,165,8,231,388,7439,94,1.0,18967,337
M063,3,91,203,2586,1,31,141,1644,330,61,31,12507,119,74,446,1099,24691,1,4,834,404.0,1080,70,178,5859,282,2004,0.0,287,229,0.0,340,292,1087,648,1,1614,622,91,3269,336,M063,267,796,30,8,112,391,10331,125,1.0,27275,1120
M064,4,99,191,1850,544,163,206,946,330,62,31,10437,119,146,309,543,19520,1,4,361,196.0,666,71,178,4092,292,2096,0.0,7,229,0.0,423,221,660,687,1,1139,716,99,2065,418,M064,267,736,91,9,147,393,8694,273,1.0,22200,798
M110,4,87,128,1368,291,141,194,1079,324,55,31,8900,119,136,90,686,15000,1,4,389,199.0,554,66,127,2295,290,1270,0.0,229,227,0.0,240,167,422,654,1,220,529,87,1545,235,M110,267,398,70,7,152,379,7164,132,0.0,17480,429
M134,3,118,247,1743,377,168,243,1389,328,58,31,10549,119,109,358,722,18626,1,4,936,425.0,988,69,156,3493,282,1334,0.0,7,229,0.0,8,287,526,997,1,905,290,118,1524,5,M134,267,308,172,8,115,387,8066,105,1.0,20875,369
M137,3,165,224,2338,622,685,243,1368,332,65,31,13581,119,129,1143,701,27700,1,4,1038,425.0,690,72,326,8233,283,2016,0.0,148,229,0.0,139,389,727,1228,1,807,422,165,4981,136,M137,267,541,97,11,115,398,10482,131,1.0,30092,1262
M140,4,76,412,1507,366,83,149,1370,332,60,31,9958,119,254,571,873,17691,1,4,290,348.0,571,72,192,3328,293,1451,0.0,344,229,0.0,35,146,482,739,1,990,328,76,1122,30,M140,267,469,165,14,121,392,7876,97,1.0,19982,550
M142,3,132,152,2435,655,38,232,1511,332,64,31,10387,119,113,321,929,21212,1,4,468,350.0,1186,72,151,5038,283,1710,0.0,262,229,0.0,43,331,409,857,1,741,326,132,3451,40,M142,267,466,156,60,120,395,8252,128,1.0,23504,862
M184,4,79,462,1246,241,96,208,1288,326,49,31,7097,119,287,181,743,11952,1,4,156,337.0,760,67,179,1145,243,1096,0.0,153,229,0.0,10,125,328,598,1,112,253,79,165,5,M184,267,337,40,6,184,375,5588,96,1.0,14152,101
M188,4,95,1257,1563,323,349,407,1961,332,60,31,10910,119,382,548,1158,20270,1,4,523,396.0,909,72,286,4368,293,1373,0.0,60,229,0.0,9,366,511,996,1,823,302,95,1021,4,M188,375,382,105,14,142,391,8397,161,1.0,22536,160
M292,4,88,394,1151,307,180,207,942,336,61,31,7867,119,82,639,508,13608,1,5,11,226.0,334,75,177,2148,295,1412,0.0,7,230,0.0,26,124,411,465,1,117,321,88,690,21,M292,267,481,118,13,199,397,6897,109,1.0,15897,431
