,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M015,171,194,1653,65,327,361,2506,391,93,15175,65,580,604,1476,27446,1,1,246,669,171,341,988,90,281,5802,318,2139,0.0,21,268,2,23,373,1052,389,0,949,3356,23,M015,308,928,79,9,85,484,13510,67,1.0,29416,292
M019,144,182,1968,567,371,471,962,384,82,8578,65,77,445,226,20942,1,1,169,265,144,335,668,85,202,7461,299,1829,0.0,21,265,2,36,227,633,594,0,764,5470,36,M019,308,552,27,8,69,466,7391,95,1.0,22888,927
M020,108,270,1969,346,75,579,1749,387,89,10051,65,563,315,933,17987,1,1,433,237,108,351,900,88,67,2819,311,1292,0.0,27,266,2,39,176,348,283,0,371,1611,39,M020,308,511,96,10,77,476,8498,83,1.0,19958,695
M034,119,596,1534,495,497,610,2159,392,93,11881,65,533,959,1176,21884,1,1,165,373,119,342,737,91,256,4534,316,1657,0.0,33,267,2,26,216,551,754,0,562,1702,25,M034,308,525,75,11,75,485,9901,162,1.0,23855,424
M063,143,312,2313,135,433,529,1564,389,91,14459,65,88,667,800,28277,1,1,1064,235,143,351,1197,89,224,7753,327,2044,0.0,300,267,2,24,413,1165,574,0,2084,3843,24,M063,308,643,37,14,87,481,12101,69,1.0,30253,743
M064,118,224,2614,557,202,362,1163,389,94,11600,65,193,881,582,23269,1,1,407,218,118,501,1016,89,170,5742,319,2032,0.0,19,266,2,181,246,643,596,0,1175,3014,181,M064,308,715,57,18,100,483,9978,179,1.0,25397,1226
M110,101,183,1319,440,158,285,1264,372,67,9247,65,170,51,754,15250,1,1,373,225,101,475,441,77,85,2182,293,1137,0.0,17,261,2,182,180,465,134,6,57,1551,177,M110,308,162,18,6,64,439,8396,53,0.0,17309,505
M134,99,200,1765,561,534,383,1504,386,87,11050,65,87,396,771,20028,1,1,658,350,99,339,975,87,60,4047,316,1564,0.0,18,266,2,23,310,613,672,0,1078,1529,23,M134,308,291,50,9,91,473,9421,81,1.0,21985,416
M137,171,154,1704,824,851,383,1504,388,91,11519,65,86,657,771,25911,1,1,945,350,171,362,665,89,65,8501,322,2512,0.0,20,266,2,40,490,898,816,0,276,6072,40,M137,308,654,12,10,126,480,9476,95,1.0,27897,666
M140,105,395,1865,533,452,163,589,388,88,10931,65,549,570,50,19223,1,1,434,375,105,346,792,89,206,3873,295,1861,0.0,320,266,2,52,172,593,613,0,743,1541,51,M140,308,596,54,52,86,476,8699,54,1.0,21189,700
M142,141,134,2458,793,28,202,1212,389,92,11164,65,518,164,755,21201,1,1,647,255,141,355,1196,89,59,4430,319,1796,0.0,337,266,2,36,260,515,199,3,1055,2789,34,M142,308,380,44,9,98,481,9293,64,1.0,23181,888
M184,90,140,1277,529,68,278,999,382,74,7697,65,54,225,443,12413,1,1,199,278,90,288,653,84,217,994,260,1356,0.0,20,264,2,28,135,386,442,0,47,378,28,M184,308,363,23,7,72,456,6621,118,1.0,14302,251
M188,126,489,1611,469,123,401,1388,388,87,11444,65,97,662,710,19305,1,1,497,276,126,329,998,89,232,3087,301,1649,0.0,326,266,2,29,224,558,181,0,353,1235,29,M188,308,415,41,8,199,475,9858,211,1.0,21254,240
M292,112,445,955,875,62,357,1373,392,92,10394,65,542,459,728,17405,1,1,179,283,112,309,230,93,304,2358,285,2213,6.0,22,266,2,24,201,542,270,0,72,1119,24,M292,308,685,92,11,100,485,8923,61,1.0,19344,352
M301,117,130,1764,65,748,471,962,391,91,12567,65,636,725,226,21114,1,497,5,265,117,375,664,90,44,3785,352,1919,0.0,22,267,2,23,647,1260,404,0,80,957,23,M301,308,466,31,13,114,482,11353,70,1.0,23116,727
M315,100,215,1655,718,26,170,493,374,71,10211,65,114,893,47,18559,1,1,639,276,100,314,296,79,258,3941,286,2160,0.0,19,261,2,28,325,883,427,0,686,1796,27,M315,308,480,34,9,70,445,8650,68,0.0,20462,986
M332,202,512,1988,796,2291,356,1363,394,96,13128,65,717,1246,725,28560,1,863,429,282,202,358,732,92,148,8397,338,3482,0.0,26,268,2,19,663,1799,937,0,83,2739,19,M332,308,709,251,21,157,490,10512,105,1.0,30552,882
M345,111,224,1712,706,25,356,1363,390,89,10392,65,592,693,725,20849,1,1,453,282,111,346,553,90,98,4104,325,3167,0.0,29,266,2,21,308,848,354,0,866,1988,21,M345,308,1066,57,453,94,479,8770,34,1.0,22818,786
M361,98,171,1115,65,25,170,493,373,68,10542,65,71,366,47,17015,1,1,448,276,98,354,421,78,137,3353,313,1414,0.0,30,262,2,41,331,877,194,0,314,2145,41,M361,308,362,29,6,104,441,9598,34,0.0,18954,320
M363,135,120,1835,65,26,529,1564,374,71,9411,65,129,366,800,18437,1,1,229,235,135,309,329,79,56,4288,286,1204,0.0,204,261,2,23,226,642,251,0,68,3480,23,M363,308,417,32,11,70,444,8421,86,0.0,20335,1133
M364,120,149,993,65,204,362,1162,372,67,8525,65,142,435,582,16028,1,1,187,218,120,593,369,77,129,3524,277,1702,0.0,21,261,2,316,220,611,975,0,59,2457,316,M364,308,758,51,7,262,439,6940,78,0.0,18204,251
M378,109,395,1684,716,487,248,1229,387,86,9582,65,119,443,657,18416,1,1,151,324,109,307,436,88,618,3877,283,1935,0.0,39,265,2,23,218,775,642,0,73,2260,23,M378,308,298,136,13,133,474,7792,83,1.0,20340,875
M448,120,419,838,514,71,446,1495,390,88,9983,65,592,696,869,17006,1,1,162,174,120,368,285,91,92,2742,340,1828,6.0,24,266,2,28,222,561,489,0,188,1145,28,M448,308,525,12,9,219,479,8544,65,1.0,18997,180
M450,121,382,1181,331,549,218,611,388,87,9358,194,532,817,83,16602,1,142,23,304,121,479,465,90,41,4180,346,1152,6.0,26,265,2,133,326,403,601,0,321,1643,133,M450,308,226,17,11,181,475,8046,70,1.0,18701,214
M458,81,213,574,759,432,167,440,385,78,7969,65,119,633,55,13658,1,1,72,213,81,307,61,87,168,1765,285,2829,6.0,21,264,2,22,354,962,268,0,50,82,22,M458,308,967,135,4,137,463,7126,57,1.0,15573,140
M509,152,858,1736,895,492,250,1240,390,89,9775,254,537,747,660,19841,1,1,14,325,152,347,596,91,86,4923,311,2015,6.0,328,265,2,36,348,610,1007,0,331,2146,36,M509,308,354,290,11,145,479,7360,151,1.0,21812,577
M515,165,597,1139,676,346,426,1417,384,80,10036,240,795,957,660,18110,1,123,179,325,165,315,428,86,501,2351,290,3002,6.0,231,265,2,25,268,450,561,0,39,20,25,M515,308,1501,239,11,364,464,7385,144,1.0,20033,162
M539,88,293,1080,479,57,217,790,370,55,6220,65,155,270,385,10370,1,1,8,183,88,194,235,76,77,1141,168,1050,6.0,84,260,2,27,49,164,76,0,143,328,26,M539,308,278,9,64,66,425,5718,89,0.0,12134,472
M650,183,242,1262,902,763,166,440,383,74,8389,506,92,689,55,15828,1,1,1,213,183,315,240,85,295,2198,282,3356,6.0,21,264,2,33,393,1089,135,0,47,63,33,M650,308,975,224,3,387,456,7512,106,1.0,17743,207
M696,110,242,747,646,29,211,1155,370,54,7093,65,106,470,739,11829,1,1,2,199,110,339,194,76,146,1214,287,1510,6.0,188,260,2,52,234,361,106,0,38,200,52,M696,308,312,49,2,189,424,6397,96,0.0,13736,179
M839,122,244,914,466,611,362,1162,381,78,8560,65,198,400,582,14915,1,1,145,218,122,365,357,84,57,2719,339,1438,0.0,21,263,2,26,212,552,1204,0,68,1183,26,M839,308,305,21,9,105,459,6826,87,1.0,16884,184
M001,108,83,1373,369,278,300,1315,385,87,9915,65,54,585,795,17281,2,1,305,220,108,365,727,86,36,2866,319,1706,0.0,21,265,2,46,151,422,283,0,57,1711,46,M001,308,837,27,8,70,472,9098,87,1.0,19262,272
M002,120,102,1587,264,30,324,1102,388,91,10087,65,77,240,496,15990,2,1,261,282,120,355,961,88,73,2110,317,984,0.0,193,266,2,38,171,269,386,0,394,1173,38,M002,308,380,26,6,65,479,8999,71,1.0,17968,253
M003,133,62,1243,267,29,251,935,371,66,7340,65,105,277,536,13418,2,1,377,148,133,419,201,77,103,2792,312,977,0.0,165,260,2,107,95,280,236,0,425,1903,106,M003,308,344,13,7,78,438,6253,84,0.0,15419,668
M006,122,23,1003,475,78,477,1580,372,67,7794,65,456,295,838,13832,2,1,74,264,122,359,293,77,56,2282,324,1052,0.0,159,261,2,36,114,277,548,0,588,1184,35,M006,308,221,30,8,70,438,6378,92,0.0,15775,336
