DBN,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation,Name,schoolyear,fl_percent,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,poverty_level,elementary_school,middle_school,high_school
M015,1,157,112,1743,2,872,534,1874,320,58,10631,105,110,532,884,22101,1,2,243,456.0,157,331,953,66,239,6015,314,1681,0.0,392,220,2.0,17,308,757,852,0,1264,2925.0,15,M015,286,811,16,10,100,378,8683,95,1.0,23559,400,P.S. 015 ROBERTO CLEMENTE,2009,89.4,,252.0,19.0,24.6,6.3,29.8,59.1,2.8,59.1,40.9,88.133240805,1,0,0
M019,1,136,247,1916,513,141,349,1404,317,54,10317,105,75,190,804,18933,1,2,252,251.0,136,320,563,63,113,3121,314,2039,0.0,10,220,2.0,6,173,674,774,0,918,1450.0,4,M019,286,715,67,11,125,370,8917,107,1.0,20372,963,P.S. 019 ASHER LEVY,2009,61.5,,325.0,8.3,21.5,12.0,25.5,45.8,9.8,48.0,52.0,31.0895211659,1,0,0
M020,1,136,195,1990,180,113,332,1367,319,56,10338,105,61,510,810,18006,1,2,421,225.0,136,320,928,64,108,3058,314,1116,0.0,8,220,2.0,6,250,325,861,0,546,1442.0,4,M020,286,448,124,28,136,375,8558,196,1.0,19450,672,PS 020 ANNA SILVER,2009,92.5,,593.0,21.4,17.0,23.6,9.3,63.4,1.5,48.2,51.8,94.5176960444,1,0,0
M034,1,132,293,1199,381,374,383,1502,319,53,9560,105,101,771,779,17630,1,2,344,340.0,132,330,576,65,213,3739,314,1498,0.0,22,220,2.0,16,187,493,696,0,872,1240.0,14,M034,286,443,55,20,160,372,8044,85,1.0,19080,232,PS 034 FRANKLIN D ROOSEVELT,2009,77.0,,424.0,9.0,23.1,6.6,20.5,69.6,2.1,50.5,49.5,61.4156835531,1,1,0
M063,1,185,171,2902,2,350,463,1907,319,57,13437,105,50,467,1032,26751,1,2,919,412.0,185,363,1037,65,219,6646,313,1674,0.0,271,220,2.0,49,367,947,845,0,1741,3547.0,48,M063,286,607,19,12,106,376,11023,88,1.0,28239,1474,PS 063 WILLIAM MCKINLEY,2009,63.9,,199.0,4.0,27.6,9.5,17.1,65.3,7.0,63.8,36.2,36.2248438584,1,0,0
M064,1,152,108,2160,232,194,434,1399,320,58,11930,105,163,342,738,21942,1,2,418,226.0,152,321,616,66,156,4281,314,2021,0.0,7,220,2.0,7,238,872,1566,0,1215,2182.0,5,M064,286,788,88,20,109,378,9240,289,1.0,23391,1153,PS 064 ROBERT SIMON,2009,79.3,,300.0,5.0,24.3,5.7,24.0,66.7,1.7,54.0,46.0,66.4816099931,1,0,0
M110,1,153,134,1550,324,170,341,1271,311,49,9991,105,79,108,702,16801,1,2,532,228.0,153,340,574,59,95,2754,312,1082,0.0,255,218,2.0,27,185,367,838,0,233,1922.0,26,M110,286,271,40,10,110,360,8066,86,0.0,18250,586,PS 110 FLORENCE NIGHTINGALE,2009,48.6,,465.0,5.6,18.7,13.1,15.7,53.1,14.6,48.6,51.4,18.66759195,1,0,0
M134,1,143,116,1640,428,179,490,1682,316,52,10384,105,174,399,754,18495,1,2,1150,438.0,143,319,840,62,120,3240,314,1406,0.0,7,220,2.0,5,292,539,789,0,940,1312.0,4,M134,286,308,69,9,122,368,7992,81,1.0,19931,409,PS 134 HENRIETTA SZOLD,2009,79.5,,391.0,8.2,15.1,20.2,20.7,56.5,1.0,46.3,53.7,66.9673837613,1,0,0
M137,1,159,404,2663,751,858,490,1682,320,59,15075,105,137,661,754,31463,1,2,1246,438.0,159,505,780,66,229,9419,314,2465,0.0,40,220,2.0,191,472,891,1845,0,992,6030.0,189,M137,286,700,59,21,102,379,11416,102,1.0,33096,1493,PS 137 JOHN L BERNSTEIN,2009,78.3,,213.0,16.9,23.9,11.3,29.6,55.9,2.3,50.7,49.3,64.3303261624,1,0,0
M140,1,116,370,1573,404,93,294,1473,320,54,10884,105,500,446,886,19007,1,2,347,293.0,116,321,728,66,169,3315,315,1645,0.0,337,220,2.0,6,147,542,619,0,1042,1214.0,4,M140,286,537,145,45,118,374,8677,89,1.0,20451,455,PS 140 NATHAN STRAUS,2009,85.9,,426.0,13.1,22.5,5.9,16.9,74.4,1.4,54.7,45.3,80.7772380291,1,1,0
