DBN,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation,Name,schoolyear,fl_percent,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,poverty_level,elementary_school,middle_school,high_school
M015,2,267,274,1713,41,522,1219,3378,374,88,34,12577,83,164,480,1320,25851,1,0.0,211,838,267,395,930,74,134,5696,317,2219,0.0,420,266,3,77,357,951,350,1,825,3237,74,M015,307,1060,9,11,156,462,11225,61,1.0,28046,394,P.S. 015 ROBERTO CLEMENTE,2011,,96.5,203.0,14.8,22.7,6.4,36.9,54.2,2.0,55.7,44.3,92.7236315087,1,0,0
M019,2,139,214,1878,514,364,305,1202,369,82,34,8633,83,148,366,770,19742,1,0.0,257,127,139,309,567,72,121,6118,301,1772,0.0,11,263,3,8,203,609,547,1,878,4092,5,M019,307,543,7,9,97,452,7454,86,1.0,21842,922,P.S. 019 ASHER LEVY,2011,,82.0,328.0,9.5,18.6,14.6,27.1,47.3,9.5,47.3,52.7,48.1975967957,1,0,0
M020,2,241,249,1842,310,79,305,1456,371,83,34,9412,83,142,276,760,16986,1,0.0,390,391,241,381,850,72,118,2878,307,1158,0.0,11,265,3,74,251,330,257,1,355,1667,71,M020,307,415,56,9,94,454,8353,82,1.0,19160,603,PS 020 ANNA SILVER,2011,,97.1,625.0,23.0,16.8,28.2,8.2,59.8,2.7,53.3,46.7,94.259012016,1,0,0
M034,2,150,606,1181,471,837,727,2395,374,85,34,11265,83,132,889,1097,21514,1,0.0,153,572,150,306,623,75,665,4728,251,1795,0.0,12,265,3,55,226,539,872,1,542,1627,52,M034,307,542,20,11,232,458,9317,93,1.0,23618,169,PS 034 FRANKLIN D ROOSEVELT,2011,,99.2,393.0,11.5,24.2,6.9,20.6,68.7,2.5,50.6,49.4,98.3978638184,1,1,0
M063,2,283,234,1915,41,413,306,1539,373,88,34,14030,83,129,565,874,26967,1,0.0,1231,359,283,493,1078,75,218,7328,269,1873,0.0,254,264,3,224,396,1070,525,1,1953,3769,221,M063,307,599,22,13,150,461,11592,54,1.0,29259,447,PS 063 WILLIAM MCKINLEY,2011,,83.6,181.0,2.8,27.1,7.2,18.8,62.4,10.5,57.5,42.5,52.3364485981,1,0,0
M064,2,207,167,2210,515,200,454,1320,373,88,34,11476,83,316,813,628,22456,1,0.0,318,238,207,362,1031,75,195,5370,318,1872,0.0,11,264,3,44,243,631,888,1,1126,2820,41,M064,307,610,20,18,99,461,9626,100,1.0,24618,789,PS 064 ROBERT SIMON,2011,,90.5,322.0,6.5,30.4,6.8,24.5,62.1,4.3,55.6,44.4,72.9639519359,1,0,0
M110,2,140,112,1367,400,158,585,1586,368,80,34,9439,83,156,277,711,16631,1,0.0,190,290,140,337,454,71,48,2945,298,1154,0.0,6,263,3,39,225,449,291,1,136,2037,36,M110,307,155,18,9,141,449,8675,53,1.0,18755,523,PS 110 FLORENCE NIGHTINGALE,2011,,65.5,435.0,6.0,17.2,13.1,14.9,45.5,24.8,50.8,49.2,21.2950600801,1,0,0
M134,3,140,251,1813,477,522,537,1504,369,81,34,10612,83,154,30,709,19175,1,0.0,456,258,140,302,964,71,299,3655,248,1450,0.0,10,264,3,53,304,586,777,1,1017,1531,50,M134,307,253,67,7,127,450,8767,80,1.0,21265,459,PS 134 HENRIETTA SZOLD,2011,,86.6,371.0,12.9,14.0,25.3,19.7,53.9,0.8,47.2,52.8,60.4138851802,1,0,0
M137,2,242,279,1734,767,803,537,1504,372,85,34,10786,83,141,30,709,25256,1,0.0,938,258,242,862,807,73,153,8470,314,2521,0.0,11,264,3,548,516,861,273,1,900,5942,545,M137,307,607,17,11,274,457,9159,91,1.0,27913,538,PS 137 JOHN L BERNSTEIN,2011,,88.4,232.0,16.8,21.1,17.2,26.7,54.3,1.7,50.4,49.6,65.7543391188,1,0,0
M140,2,196,450,1680,511,120,230,1254,373,83,34,10799,83,390,513,839,19297,1,0.0,297,185,196,304,777,74,170,3542,294,1825,0.0,12,264,3,9,172,585,667,1,814,1472,6,M140,307,577,73,63,88,455,9132,56,1.0,21394,514,PS 140 NATHAN STRAUS,2011,,92.9,397.0,15.4,21.7,3.5,14.1,80.1,1.8,51.1,48.9,79.9732977303,1,1,0
M142,2,209,156,2342,795,127,352,1474,373,86,34,10518,83,123,191,752,20771,1,0.0,567,371,209,332,1126,74,73,4679,315,1549,0.0,306,265,3,17,143,483,263,1,1035,3027,14,M142,307,160,114,11,100,459,8972,97,1.0,22900,826,PS 142 AMALIA CASTRO,2011,,93.8,430.0,11.6,22.6,6.3,13.5,75.3,3.3,48.1,51.9,82.9105473965,1,0,0
M184,2,142,253,1193,246,93,308,1146,366,70,34,7678,83,111,198,599,12185,1,0.0,218,239,142,231,595,68,229,1111,220,915,0.0,11,264,3,11,105,268,667,1,33,429,8,M184,307,276,22,10,115,437,6362,55,1.0,14192,208,PS 184M SHUANG WEN,2011,,75.4,685.0,10.4,8.0,80.6,4.2,5.4,9.2,50.4,49.6,31.8424566088,1,1,0
M188,2,214,425,1446,542,353,408,1377,371,81,34,10979,83,113,537,683,18879,1,0.0,347,287,214,322,910,73,251,3305,295,1558,0.0,306,264,3,27,211,516,250,1,574,1205,24,M188,307,342,76,11,147,453,9449,184,1.0,20992,147,PS 188 THE ISLAND SCHOOL,2011,,92.6,401.0,13.7,21.7,1.2,30.2,64.1,4.2,52.6,47.4,79.2389853138,1,1,0
M292,2,132,495,968,712,244,281,1286,373,82,34,9257,83,459,864,733,16471,1,0.0,125,271,132,322,235,75,356,2634,308,2194,1.0,12,264,3,14,173,482,267,2,61,797,10,M292,307,781,17,14,206,456,7899,119,1.0,18587,344,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2011,,73.3,448.0,21.7,23.7,12.5,28.1,56.9,2.0,59.6,40.4,28.9052069426,0,1,1
