,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Regional_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Regional_Costs,Regional_Support_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation,_No_type_required
M015,3,97,170,1936,1,286,267,1393,331,63,31,9364,119,131,449,806,1203,19728,01,4,334,320,1040,71,334,5306,283,1631,,9,229,,49,1572,225,675,708,2,1168,332,97,3004,361,44,M015,267,821,7,63,9,126,394,1572,7684,101,Yes,22026,511,283
M019,4,69,195,1876,465,147,169,1270,329,59,31,9511,119,100,268,813,1203,17458,01,4,111,288,559,69,148,2873,292,1860,,26,228,,14,1572,157,599,886,1,864,305,69,1237,361,9,M019,267,633,7,84,10,153,388,1572,7942,215,Yes,19724,931,292
M020,3,75,211,1607,233,326,149,1204,330,63,31,10148,120,643,452,767,1203,16793,01,4,211,288,926,70,229,2661,283,1098,,93,229,,205,1572,202,295,789,1,512,489,75,954,361,202,M020,267,391,7,177,51,128,393,1572,7850,156,Yes,19247,295,283
M034,3,83,303,1292,350,286,316,1486,330,57,31,9065,119,190,718,865,1203,16697,01,4,289,306,568,71,163,3345,282,1426,,81,229,,28,1572,179,443,645,1,807,310,83,1048,361,24,M034,267,393,7,165,8,231,388,1572,7439,94,Yes,18967,337,282
M063,3,91,203,2586,1,31,141,1644,330,61,31,12507,119,74,446,1099,1203,24691,01,4,834,404,1080,70,178,5859,282,2004,,287,229,,340,1572,292,1087,648,1,1614,622,91,3269,361,336,M063,267,796,7,30,8,112,391,1572,10331,125,Yes,27275,1120,282
M064,4,99,191,1850,544,163,206,946,330,62,31,10437,119,146,309,543,1203,19520,01,4,361,196,666,71,178,4092,292,2096,,7,229,,423,1572,221,660,687,1,1139,716,99,2065,361,418,M064,267,736,7,91,9,147,393,1572,8694,273,Yes,22200,798,292
M110,4,87,128,1368,291,141,194,1079,324,55,31,8900,119,136,90,686,1203,15000,01,4,389,199,554,66,127,2295,290,1270,,229,227,,240,1572,167,422,654,1,220,529,87,1545,361,235,M110,267,398,7,70,7,152,379,1572,7164,132,No,17480,429,290
M134,3,118,247,1743,377,168,243,1389,328,58,31,10549,119,109,358,722,1203,18626,01,4,936,425,988,69,156,3493,282,1334,,7,229,,8,1572,287,526,997,1,905,290,118,1524,361,5,M134,267,308,7,172,8,115,387,1572,8066,105,Yes,20875,369,282
M137,3,165,224,2338,622,685,243,1368,332,65,31,13581,119,129,1143,701,1203,27700,01,4,1038,425,690,72,326,8233,283,2016,,148,229,,139,1572,389,727,1228,1,807,422,165,4981,361,136,M137,267,541,7,97,11,115,398,1572,10482,131,Yes,30092,1262,283
M140,4,76,412,1507,366,83,149,1370,332,60,31,9958,119,254,571,873,1203,17691,01,4,290,348,571,72,192,3328,293,1451,,344,229,,35,1572,146,482,739,1,990,328,76,1122,361,30,M140,267,469,7,165,14,121,392,1572,7876,97,Yes,19982,550,293
