,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
M015,1,157,112,1743,2,872,534,1874,320,58,34,10631,105,110,532,884,346,22101,01,2,243,456,157,331,953,66,239,6015,314,1681,,392,220,2,17,749,308,757,852,0,1264,2925,396,15,M015,286,811,7,16,10,100,378,749,8683,95,Yes,23559,400
M019,1,136,247,1916,513,141,349,1404,317,54,34,10317,105,75,190,804,346,18933,01,2,252,251,136,320,563,63,113,3121,314,2039,,10,220,2,6,749,173,674,774,0,918,1450,396,4,M019,286,715,7,67,11,125,370,749,8917,107,Yes,20372,963
M020,1,136,195,1990,180,113,332,1367,319,56,34,10338,105,61,510,810,346,18006,01,2,421,225,136,320,928,64,108,3058,314,1116,,8,220,2,6,749,250,325,861,0,546,1442,396,4,M020,286,448,7,124,28,136,375,749,8558,196,Yes,19450,672
M034,1,132,293,1199,381,374,383,1502,319,53,34,9560,105,101,771,779,346,17630,01,2,344,340,132,330,576,65,213,3739,314,1498,,22,220,2,16,749,187,493,696,0,872,1240,396,14,M034,286,443,7,55,20,160,372,749,8044,85,Yes,19080,232
M063,1,185,171,2902,2,350,463,1907,319,57,34,13437,105,50,467,1032,346,26751,01,2,919,412,185,363,1037,65,219,6646,313,1674,,271,220,2,49,749,367,947,845,0,1741,3547,396,48,M063,286,607,7,19,12,106,376,749,11023,88,Yes,28239,1474
M064,1,152,108,2160,232,194,434,1399,320,58,34,11930,105,163,342,738,346,21942,01,2,418,226,152,321,616,66,156,4281,314,2021,,7,220,2,7,749,238,872,1566,0,1215,2182,396,5,M064,286,788,7,88,20,109,378,749,9240,289,Yes,23391,1153
M110,1,153,134,1550,324,170,341,1271,311,49,34,9991,105,79,108,702,346,16801,01,2,532,228,153,340,574,59,95,2754,312,1082,,255,218,2,27,749,185,367,838,0,233,1922,396,26,M110,286,271,7,40,10,110,360,749,8066,86,No,18250,586
M134,1,143,116,1640,428,179,490,1682,316,52,34,10384,105,174,399,754,346,18495,01,2,1150,438,143,319,840,62,120,3240,314,1406,,7,220,2,5,749,292,539,789,0,940,1312,396,4,M134,286,308,7,69,9,122,368,749,7992,81,Yes,19931,409
M137,1,159,404,2663,751,858,490,1682,320,59,34,15075,105,137,661,754,346,31463,01,2,1246,438,159,505,780,66,229,9419,314,2465,,40,220,2,191,749,472,891,1845,0,992,6030,396,189,M137,286,700,7,59,21,102,379,749,11416,102,Yes,33096,1493
M140,1,116,370,1573,404,93,294,1473,320,54,34,10884,105,500,446,886,346,19007,01,2,347,293,116,321,728,66,169,3315,315,1645,,337,220,2,6,749,147,542,619,0,1042,1214,396,4,M140,286,537,7,145,45,118,374,749,8677,89,Yes,20451,455
